word,tone
ай да сукин сын,pos
совсем не плохо,pos
вовсе не плохо,pos
ну и хуй с ним,neu
ну и хуй с ней,neu
не увенчался успехом,neg
не увенчались успехом,neg
не увенчалась успехом,neg
не увенчалось успехом,neg
не доверяет,neg
не доверяю,neg
не доверяем,neg
не удалось,neg
так трудно,neg
глаза на лоб,neg
выводы делайте сами,neg
всё устраивает,pos
не нормально,neg
не хорошо,neg
не нравится,neg
не хочу,neg
не устраивает,neg
не выдал,neg
часа моего времени,neg
вздохнула с облегчением,pos
вздохнуть с облегчением,pos
вздохнул с облегчением,pos
не советую,neg
вы что спятили,neg
ты спятил,neg
не помогают,neg
не пришло,neg
не пришла,neg
не нужен,neg
не нужна,neg
не нужно,neg
не нужны,neg
задержаны за попытку,neg
задержан за попытку,neg
